iter PGD FW
862 1598 683
863 1576 683
864 1564 683
865 1568 683
866 1542 683
867 1573 683
868 1546 683
869 1564 683
870 1559 683
871 1549 683
872 1556 683
873 1531 683
874 1590 684
875 1582 684
876 1580 684
877 1573 684
878 1550 684
879 1545 684
880 1566 684
881 1549 684
882 1555 684
883 1552 685
884 1561 685
885 1567 685
886 1587 685
887 1579 685
888 1575 685
889 1590 685
890 1587 686
891 1603 687
892 1578 687
893 1582 687
894 1569 687
895 1561 687
896 1532 687
897 1586 687
898 1594 687
899 1582 687
900 1541 687
901 1514 687
902 1524 687
903 1538 687
904 1567 687
905 1503 687
906 1515 687
907 1543 687
908 1578 687
909 1559 687
910 1609 687
911 1612 687
912 1626 687
913 1626 687
914 1614 687
915 1591 687
916 1603 687
917 1575 687
918 1545 687
919 1545 687
920 1582 687
921 1553 687
922 1538 687
923 1539 687
924 1559 688
925 1545 688
926 1534 688
927 1553 688
928 1572 688
929 1552 688
930 1526 688
931 1572 688
932 1566 688
933 1578 688
934 1587 688
935 1585 688
936 1597 688
937 1590 688
938 1585 688
939 1592 688
940 1541 688
941 1550 688
942 1534 688
943 1590 688
944 1569 688
945 1558 688
946 1570 688
947 1579 688
948 1624 688
949 1539 688
950 1539 688
951 1568 688
952 1622 688
953 1571 688
954 1538 688
955 1536 688
956 1527 688
957 1533 688
958 1533 688
959 1552 688
960 1564 688
961 1553 688
962 1531 688
963 1544 688
964 1548 688
965 1595 688
966 1571 688
967 1592 688
968 1588 688
969 1558 688
970 1550 689
971 1548 689
972 1551 689
973 1533 689
974 1555 689
975 1572 689
976 1593 689
977 1580 689
978 1541 689
979 1544 689
980 1567 689
981 1567 689
982 1550 689
983 1545 689
984 1524 689
985 1558 689
986 1539 689
987 1528 689
988 1581 689
989 1623 689
990 1582 689
991 1621 689
992 1585 689
993 1591 690
994 1614 690
995 1597 690
996 1582 690
997 1576 690
998 1573 690
999 1587 690
1000 1571 690
