iter PGD FW
709 1959 147
710 1960 147
711 1963 147
712 1963 147
713 1962 147
714 1979 147
715 1983 147
716 1983 147
717 1982 147
718 1982 147
719 1982 147
720 1980 147
721 1979 147
722 1980 147
723 1981 147
724 1982 147
725 1982 147
726 1982 147
727 1983 147
728 1984 147
729 1985 147
730 1985 147
731 1985 147
732 1985 147
733 1985 147
734 1984 147
735 1982 147
736 1982 147
737 1982 147
738 1982 147
739 1981 147
740 1981 147
741 1976 147
742 1974 147
743 1968 147
744 1962 147
745 1960 147
746 1960 147
747 1959 147
748 1959 147
749 1957 147
750 1956 147
751 1955 147
752 1955 147
753 1954 147
754 1952 147
755 1948 147
756 1943 147
757 1939 147
758 1941 147
759 1941 147
760 1941 147
761 1951 147
762 1958 147
763 1952 147
764 1950 147
765 1948 147
766 1953 147
767 1969 147
768 1969 147
769 1969 147
770 1971 147
771 1979 147
772 1982 147
773 1991 147
774 1995 147
775 2008 147
776 2012 147
777 2012 147
778 2013 147
779 2011 147
780 2008 147
781 2010 147
782 2010 147
783 2009 147
784 2010 147
785 2012 147
786 2009 147
787 2007 147
788 2013 147
789 2012 147
790 2012 147
791 2012 147
792 2011 147
793 2009 147
794 2008 147
795 2008 147
796 2008 147
797 2008 147
798 2009 147
799 2008 147
800 2004 147
801 2005 147
802 2007 147
803 2007 147
804 2007 147
805 2007 147
806 2007 147
807 2004 147
808 2003 147
809 2005 147
810 2018 147
811 2021 147
812 2021 147
813 2020 147
814 2022 147
815 2023 147
816 2023 147
817 2024 147
818 2024 147
819 2024 147
820 2023 147
821 2022 147
822 2022 147
823 2022 147
824 2023 147
825 2023 147
826 2023 147
827 2037 147
828 2038 147
829 2036 147
830 2040 147
831 2042 147
832 2043 147
833 2042 147
834 2042 147
835 2042 147
836 2042 147
837 2043 147
838 2052 147
839 2062 147
840 2063 147
841 2061 147
842 2059 147
843 2058 147
844 2058 147
845 2057 147
846 2057 147
847 2058 147
848 2063 147
849 2065 147
850 2065 147
851 2067 147
852 2066 147
853 2064 147
854 2064 147
855 2065 147
856 2065 147
857 2065 147
858 2065 147
859 2065 147
860 2063 147
861 2063 147
862 2067 147
863 2067 147
864 2067 147
865 2067 147
866 2067 147
867 2068 147
868 2068 147
869 2068 147
870 2068 147
871 2068 147
872 2069 147
873 2069 147
874 2069 147
875 2070 147
876 2069 147
877 2071 147
878 2071 147
879 2072 147
880 2071 147
881 2071 147
882 2071 147
883 2071 147
884 2070 147
885 2069 147
886 2069 147
887 2069 147
888 2069 147
889 2069 147
890 2069 147
891 2069 147
892 2069 147
893 2069 147
894 2069 147
895 2067 147
896 2067 147
897 2066 147
898 2066 147
899 2065 147
900 2064 147
901 2064 147
902 2064 147
903 2062 147
904 2062 147
905 2061 147
906 2061 147
907 2062 147
908 2062 147
909 2062 147
910 2062 147
911 2066 147
912 2065 147
913 2064 147
914 2065 147
915 2069 147
916 2069 147
917 2069 147
918 2068 147
919 2067 147
920 2064 147
921 2059 147
922 2060 147
923 2056 147
924 2053 147
925 2050 147
926 2049 147
927 2047 147
928 2047 147
929 2050 147
930 2049 147
931 2049 147
932 2046 147
933 2046 147
934 2053 147
935 2055 147
936 2055 147
937 2056 147
938 2052 147
939 2050 147
940 2050 147
941 2049 147
942 2049 147
943 2049 147
944 2049 147
945 2057 147
946 2063 147
947 2063 147
948 2063 147
949 2063 147
950 2063 147
951 2065 147
952 2083 147
953 2082 147
954 2082 147
955 2081 147
956 2081 147
957 2081 147
958 2081 147
959 2083 147
960 2083 147
961 2083 147
962 2084 147
963 2085 147
964 2087 147
965 2087 147
966 2089 147
967 2095 147
968 2099 147
969 2100 147
970 2100 147
971 2100 147
972 2100 147
973 2100 147
974 2101 147
975 2104 147
976 2104 147
977 2104 147
978 2104 147
979 2103 147
980 2102 147
981 2102 147
982 2102 147
983 2101 147
984 2099 147
985 2099 147
986 2101 147
987 2099 147
988 2096 147
989 2096 147
990 2097 147
991 2100 147
992 2103 147
993 2103 147
994 2103 147
995 2102 147
996 2101 147
997 2100 147
998 2101 147
999 2102 147
1000 2102 147
